                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8464,                 3.9962,                0.94567,                0.00302,                0.00862,                0.00506,                0.00129,                 1.8099,                 4.1038,                0.86998,                0.00015,                0.00015,                0.00015
                      2,                 1.6568,                 1.7618,                0.88305,                0.03308,                 0.1432,                0.10771,                0.03689,                 1.8829,                 3.4251,                0.86922,             0.00030941,             0.00030941,             0.00030941
                      3,                 1.7317,                 1.4573,                0.86702,                0.03189,                0.23015,                0.10767,                0.03955,                 1.8873,                 3.0339,                0.87369,              0.0004656,              0.0004656,              0.0004656
                      4,                 1.6995,                 1.3714,                0.86248,                0.62904,                0.23824,                0.18543,                0.09479,                 1.5734,                 2.3201,                0.85311,             0.00061857,             0.00061857,             0.00061857
                      5,                 1.6613,                 1.2563,                 0.8571,                0.66327,                0.20789,                0.20483,                0.10287,                 1.5961,                 2.2136,                0.84942,             0.00076832,             0.00076832,             0.00076832
                      6,                    1.6,                 1.2135,                0.85174,                0.92105,                0.19264,                0.18644,                0.09879,                 1.4885,                 2.0499,                0.84357,             0.00091486,             0.00091486,             0.00091486
                      7,                 1.5466,                 1.1557,                0.85005,                0.94807,                0.17198,                0.21193,                0.11168,                 1.5224,                 1.7856,                0.84701,              0.0010582,              0.0010582,              0.0010582
                      8,                 1.5336,                 1.1255,                0.85336,                0.80659,                 0.2171,                0.25721,                0.14288,                 1.4392,                 1.5978,                0.84091,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.4911,                 1.0942,                0.84257,                0.80821,                0.22745,                0.25023,                0.13636,                 1.4024,                  1.487,                0.83938,               0.001151,               0.001151,               0.001151
                     10,                 1.5033,                 1.0754,                0.83945,                0.81487,                0.22818,                0.26494,                0.15347,                 1.4009,                 1.3596,                0.83706,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.4222,                 1.0522,                 0.8388,                0.87026,                0.23835,                0.27743,                0.16523,                 1.3287,                  1.294,                0.83355,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.4479,                 1.0352,                0.83319,                0.85486,                 0.2616,                0.29221,                0.17272,                 1.3177,                 1.1882,                0.83116,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.4336,                 1.0125,                0.83409,                0.89413,                0.26828,                0.30525,                0.17658,                 1.3792,                 1.0791,                0.83494,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.467,                 1.0313,                0.83725,                0.86034,                0.26943,                0.31102,                0.17999,                 1.3804,                 1.0506,                 0.8318,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.5139,                 1.0312,                0.83059,                0.89243,                0.26013,                 0.3186,                0.18689,                 1.3781,                 1.0125,                0.82998,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.4178,                 1.0015,                0.83097,                0.79809,                0.27247,                0.31982,                0.19489,                 1.3244,                0.90778,                0.83172,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3747,                0.94947,                0.83173,                 0.5865,                0.29066,                0.32529,                0.19788,                 1.2497,                0.88837,                0.82514,               0.001052,               0.001052,               0.001052
                     18,                 1.3549,                0.95251,                0.82794,                0.52262,                0.29498,                0.36006,                 0.2031,                 1.3702,                0.96566,                0.83418,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.4103,                0.94596,                0.82794,                0.64172,                0.31044,                0.36606,                 0.2098,                 1.3767,                0.94261,                0.83732,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3445,                0.92895,                0.83361,                 0.7197,                0.37209,                0.41547,                0.25279,                 1.2479,                0.90889,                0.82633,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.4247,                0.92994,                0.82792,                0.71579,                0.36693,                0.43965,                0.26781,                 1.2935,                0.86952,                0.83041,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.4402,                0.91797,                0.82349,                0.67607,                0.37146,                0.42235,                 0.2311,                  1.327,                0.89211,                0.83047,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.3422,                0.89138,                0.82572,                0.69125,                0.42466,                0.44987,                0.27209,                 1.2577,                0.82974,                 0.8286,             0.00097775,             0.00097775,             0.00097775
                     24,                  1.358,                0.88475,                0.82598,                0.73483,                 0.4618,                0.49755,                 0.3022,                 1.2754,                0.81669,                0.82776,             0.00096537,             0.00096537,             0.00096537
                     25,                  1.371,                0.86252,                0.82478,                0.73015,                0.44385,                 0.4994,                0.31393,                 1.2327,                0.83128,                0.82634,               0.000953,               0.000953,               0.000953
                     26,                 1.2996,                0.82716,                0.83069,                 0.7638,                0.48853,                0.51263,                0.30828,                 1.2583,                0.77697,                 0.8319,             0.00094062,             0.00094062,             0.00094062
                     27,                  1.285,                0.80834,                0.82456,                0.79748,                0.50844,                0.52961,                0.33133,                 1.2282,                0.75651,                0.82346,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.2564,                0.79238,                 0.8213,                0.78594,                0.45947,                0.52033,                0.32161,                 1.2121,                0.76835,                0.82686,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.3476,                0.81821,                0.82815,                0.78005,                0.46036,                0.50736,                0.30689,                 1.2498,                 0.8105,                0.82414,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.4007,                0.83145,                0.82114,                0.72594,                0.42252,                0.48183,                0.27432,                 1.3343,                 0.8494,                0.83276,             0.00089112,             0.00089112,             0.00089112
                     31,                 1.3164,                0.80255,                0.82194,                 0.6978,                0.47108,                0.49643,                0.29782,                 1.2006,                0.74671,                0.82476,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.3404,                0.79844,                0.82218,                0.80822,                0.45889,                0.49665,                0.31004,                 1.1897,                0.73327,                0.82461,             0.00086637,             0.00086637,             0.00086637
                     33,                 1.3117,                0.79301,                0.82411,                0.77293,                0.51612,                0.56677,                0.34509,                 1.2207,                0.71084,                0.82324,               0.000854,               0.000854,               0.000854
                     34,                 1.3663,                0.80819,                0.82412,                0.84181,                0.50562,                0.58485,                0.35369,                 1.2051,                0.72379,                0.82094,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.2827,                0.77083,                0.82932,                 0.8282,                0.52758,                0.58478,                0.35431,                 1.2207,                0.70244,                0.82719,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3762,                0.81287,                0.82544,                0.83669,                0.53559,                0.58122,                0.35891,                 1.2107,                0.72495,                 0.8236,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.3659,                0.79609,                0.82401,                0.79525,                 0.5372,                0.57755,                0.34621,                  1.234,                0.78126,                0.82518,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2779,                0.74932,                0.81646,                0.77817,                0.52041,                0.57306,                0.34462,                 1.1811,                0.70964,                 0.8189,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2277,                0.71909,                0.81878,                0.84877,                0.46899,                0.55117,                0.33762,                 1.1764,                0.70984,                0.81982,             0.00077975,             0.00077975,             0.00077975
                     40,                  1.215,                0.72575,                0.81805,                0.79844,                0.54352,                0.58735,                  0.368,                 1.1703,                0.69272,                0.82016,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2169,                0.71983,                0.81694,                0.84021,                0.55131,                0.59184,                0.37679,                 1.1362,                0.66283,                0.81867,               0.000755,               0.000755,               0.000755
                     42,                 1.2377,                0.71393,                0.81813,                0.80904,                0.50934,                0.56658,                 0.3644,                 1.1624,                 0.6919,                0.82175,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2556,                0.71189,                0.81851,                0.79759,                0.46928,                0.54937,                0.34246,                  1.173,                 0.6857,                0.82089,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2247,                0.70607,                0.81701,                0.76942,                0.58567,                0.58326,                0.36836,                   1.15,                 0.6522,                0.81845,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2155,                0.69913,                0.81447,                 0.8373,                0.55461,                0.59804,                0.37819,                 1.1374,                0.65034,                0.81898,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2425,                0.70545,                0.81418,                0.83874,                0.51047,                0.56828,                0.36716,                 1.1261,                0.64202,                0.81793,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.2344,                0.70321,                0.81518,                0.83921,                0.51815,                0.57071,                0.36041,                 1.1477,                0.65932,                 0.8185,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.2385,                0.68831,                0.81235,                 0.8049,                 0.5354,                0.59112,                 0.3659,                 1.1539,                0.65131,                0.81862,             0.00066838,             0.00066838,             0.00066838
